Item,Part Number,Qty,Reference(s),Title/Description,Value on Schematic,Manufacturer,Manufacturer Part Number
1,800000-104,3,"C1,C5,C6","CAP,0603,0.1u,25V,X7R",0.1u,Open Market,N/A
2,800002-220,2,"C7,C10","CAP,0603,22p,50V,C0G",22p,Open Market,N/A
3,800003-106,2,"C2,C11","CAP,0805,10u,25V,X5R",10u,Open Market,N/A
4,800001-105,8,"C3,C4,C8,C9,C12-C15","CAP,0603,1.0u,25V,X5R",1u,Open Market,N/A
5,800113-102,1,DS1,"LED,GREEN,0805",LEDGRN-SAR,Open Market,N/A
6,800113-101,1,DS2,"LED,RED,0805",LEDRED-SAR,Open Market,N/A
7,800040-600,1,E1,"FERRITE,CHIP,0603,600 OHM,500MA",FB0603,TDK,MMZ1608S601A
8,800118-101,1,J1,"CONN,USB,TYPE B,MICRO,4 TAB,HORIZ",CONN-USB-B-MICRO-FCI-11018194,FCI,10118194-0001LF
9,800114-106,1,J2,"CONN,HDR,SHROUDED,6 CKT,5MM,XH SERIES",CONN6,Open Market,N/A
10,800114-102,1,J3,"CONN,HDR,SHROUDED,2 CKT,5MM,XH SERIES",CONN2,Open Market,N/A
11,800010-101,4,"R1,R2,R4,R6","RES,0603,100 OHM,5%",100,Open Market,N/A
12,800011-221,2,"R3,R5","RES,0805,220 OHM,5%",220,Open Market,N/A
13,800119-101,4,"U1,U3-U5","IC,ISOLATOR,SINGLE CHANNEL,SOIC8",SI8410,Silicon Labs,SI8410AB-D-IS
14,800102-101,1,U2,"IC, USB TO SERIAL, SOIC16",CH340G,WCH IC,CH340G
15,800108-012,1,Y1,"CRYSTAL,12.000MHZ,PARALLEL,18PF,HC49-US",12.000 MHz,Open Market,N/A
